2018-12-13 22:22:15
Running ./build/bench/main
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
Load Average: 6.47, 5.03, 4.21
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"HashMapFixture/SingleReadForHLE/128/1/1/100/real_time/threads:64",4769856,154.18,1168.88,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/2/100/real_time/threads:64",5172608,137.701,1027.84,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/4/100/real_time/threads:64",12911936,71.0528,645.142,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/8/100/real_time/threads:64",1875008,384.935,2952.65,ns,,,,,
"HashMapFixture/SingleReadForHLE/128/1/16/100/real_time/threads:64",30484672,24.4485,226.905,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/0/real_time/threads:8",20576,41178.3,305468,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/10/real_time/threads:8",17712,37525,279797,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/20/real_time/threads:8",18304,35852.8,271820,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/30/real_time/threads:8",20072,35229.9,266404,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/40/real_time/threads:8",20608,32618,249017,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/50/real_time/threads:8",20696,36784.1,274528,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/60/real_time/threads:8",19880,33938.9,252456,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/70/real_time/threads:8",22416,29759.7,221360,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/80/real_time/threads:8",22568,29678.5,212553,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/90/real_time/threads:8",22896,29799,218089,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/1/100/real_time/threads:8",24368,28890.3,210280,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/0/real_time/threads:8",37560,17988.3,132982,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/10/real_time/threads:8",35576,17581.4,133120,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/20/real_time/threads:8",36216,17503.2,132189,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/30/real_time/threads:8",35760,17965.6,132405,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/40/real_time/threads:8",36416,17475,130947,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/50/real_time/threads:8",34728,17451.8,130969,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/60/real_time/threads:8",36464,17341.8,130355,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/70/real_time/threads:8",35264,17347.5,129621,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/80/real_time/threads:8",39056,17134.3,129565,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/90/real_time/threads:8",38840,17334.3,128777,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/2/100/real_time/threads:8",36416,16974,127688,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/0/real_time/threads:8",33800,18009.1,134514,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/10/real_time/threads:8",37872,18224.3,132928,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/20/real_time/threads:8",35056,19051.9,141506,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/30/real_time/threads:8",36944,18100.6,134022,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/40/real_time/threads:8",39784,17528.4,130305,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/50/real_time/threads:8",40320,17353.1,129807,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/60/real_time/threads:8",39072,16903.2,126954,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/70/real_time/threads:8",38944,17208.1,127745,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/80/real_time/threads:8",33680,16656.8,126965,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/90/real_time/threads:8",38240,17126.4,127532,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/4/100/real_time/threads:8",32120,16423.3,120512,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/0/real_time/threads:8",6808,100998,697986,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/10/real_time/threads:8",7056,96773.5,658228,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/20/real_time/threads:8",8056,89653.5,628279,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/30/real_time/threads:8",8808,84559.6,587704,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/40/real_time/threads:8",9080,80316.8,547997,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/50/real_time/threads:8",9832,72825.5,502462,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/60/real_time/threads:8",10000,69027.7,469638,ns,,,,,
"HashMapFixture/RandomReadWrite/2048/256/8/70/real_time/threads:8",10984,63049.7,431917,ns,,,,,
