2018-12-15 19:39:07
Running ./build/bench/main
Run on (8 X 4000 MHz CPU s)
CPU Caches:
  L1 Data 32K (x4)
  L1 Instruction 32K (x4)
  L2 Unified 256K (x4)
  L3 Unified 8192K (x1)
Load Average: 2.52, 1.58, 1.81
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"HashMapFixture/RandomReadWrite/65536/65536/1/25/100/real_time/threads:1",6270232,118.729,118.704,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/25/100/real_time/threads:2",3300498,202.411,398.791,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/25/100/real_time/threads:4",2369284,238.575,873.933,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/25/100/real_time/threads:8",2961032,265.847,1835.47,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/25/100/real_time/threads:16",2795824,261.459,2034.95,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/25/100/real_time/threads:32",3109088,275.346,2139.61,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/75/100/real_time/threads:1",6139647,121.794,121.758,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/75/100/real_time/threads:2",2276216,237.803,460.473,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/75/100/real_time/threads:4",3517672,215.637,798.922,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/75/100/real_time/threads:8",2273912,257.681,1731.37,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/75/100/real_time/threads:16",2895584,224.088,1737.03,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/1/75/100/real_time/threads:32",2818848,221.043,1748.06,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/25/100/real_time/threads:1",4111431,177.034,176.985,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/25/100/real_time/threads:2",7341098,92.23,184.067,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/25/100/real_time/threads:4",15982656,43.3088,173.165,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/25/100/real_time/threads:8",24007792,28.8809,222.566,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/25/100/real_time/threads:16",16000000,33.4544,267.689,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/25/100/real_time/threads:32",24324128,40.8245,306.361,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/75/100/real_time/threads:1",3811644,163.897,163.893,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/75/100/real_time/threads:2",6971678,94.9612,189.488,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/75/100/real_time/threads:4",17084796,40.4321,161.673,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/75/100/real_time/threads:8",25541904,27.0488,209.311,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/75/100/real_time/threads:16",22926416,31.8002,229.664,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/2/75/100/real_time/threads:32",35041504,27.9184,233.096,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/25/100/real_time/threads:1",5608895,132.876,132.842,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/25/100/real_time/threads:2",10182358,69.0032,138.003,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/25/100/real_time/threads:4",19830596,37.2188,148.728,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/25/100/real_time/threads:8",26122520,25.0757,193.505,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/25/100/real_time/threads:16",17223904,36.0542,301.505,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/25/100/real_time/threads:32",16399232,46.5586,392.178,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/75/100/real_time/threads:1",5643705,128.896,128.892,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/75/100/real_time/threads:2",10884374,68.9749,137.94,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/75/100/real_time/threads:4",21111108,32.9755,131.896,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/75/100/real_time/threads:8",28701808,24.5093,187.922,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/75/100/real_time/threads:16",16000000,38.4888,314.708,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/4/75/100/real_time/threads:32",17994080,47.3704,399.488,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/25/100/real_time/threads:1",458891,1545.99,1544.99,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/25/100/real_time/threads:2",935596,776.655,1552.97,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/25/100/real_time/threads:4",1739844,401.775,1606.08,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/25/100/real_time/threads:8",2623032,267.21,2058.06,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/25/100/real_time/threads:16",2004480,301.456,2086.53,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/25/100/real_time/threads:32",2279808,264.541,2123.69,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/75/100/real_time/threads:1",743012,960.376,960.194,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/75/100/real_time/threads:2",1447894,489.837,979.347,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/75/100/real_time/threads:4",2780588,272.178,1086.87,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/75/100/real_time/threads:8",4102000,172.205,1310.73,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/75/100/real_time/threads:16",4207488,168.014,1312.51,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/8/75/100/real_time/threads:32",3200000,161.558,1338.73,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/16/25/100/real_time/threads:1",3206122,214.433,214.427,ns,,,,,
"HashMapFixture/RandomReadWrite/65536/65536/16/25/100/real_time/threads:2",6398962,106.509,213.012,ns,,,,,
